direction,asset,open_time,open_price,label,expiration,trade_amount,hour,weekday,is_weekend,source
SELL,EURUSD,2020-07-22,1.15357,1,S60,0.01,0,2,0,forex
BUY,USDCHF,2020-07-22,0.93246,0,S60,0.01,0,2,0,forex
SELL,EURUSD,2020-07-22,1.15879,1,S60,0.01,0,2,0,forex
SELL,EURUSD,2020-07-22,1.15934,1,S60,0.01,0,2,0,forex
BUY,EURUSD,2020-07-22,1.15882,1,S60,0.01,0,2,0,forex
SELL,EURUSD,2020-07-22,1.15872,1,S60,0.01,0,2,0,forex
SELL,GBPUSD,2020-07-22,1.27381,1,S60,0.01,0,2,0,forex
SELL,EURUSD,2020-07-22,1.15713,1,S60,0.01,0,2,0,forex
SELL,GBPUSD,2020-07-23,1.27369,1,S60,0.01,0,3,0,forex
BUY,GBPAUD,2020-07-23,1.78711,1,S60,0.01,0,3,0,forex
SELL,EURUSD,2020-07-23,1.15847,1,S60,0.01,0,3,0,forex
SELL,USDJPY,2020-07-23,107.007,1,S60,0.01,0,3,0,forex
SELL,EURUSD,2020-07-23,1.16187,1,S60,0.01,0,3,0,forex
BUY,USDJPY,2020-07-23,106.821,1,S60,0.01,0,3,0,forex
SELL,USDJPY,2020-07-23,106.83,1,S60,0.01,0,3,0,forex
SELL,EURUSD,2020-07-23,1.16035,1,S60,0.01,0,3,0,forex
BUY,USDJPY,2020-07-23,106.777,1,S60,0.01,0,3,0,forex
BUY,EURUSD,2020-07-23,1.15932,1,S60,0.01,0,3,0,forex
SELL,USDJPY,2020-07-24,106.841,1,S60,0.01,0,4,0,forex
SELL,EURUSD,2020-07-24,1.1602,1,S60,0.01,0,4,0,forex
BUY,USDJPY,2020-07-24,106.512,1,S60,0.01,0,4,0,forex
SELL,EURUSD,2020-07-24,1.1614,1,S60,0.01,0,4,0,forex
SELL,EURUSD,2020-07-24,1.16139,1,S60,0.01,0,4,0,forex
SELL,EURUSD,2020-07-24,1.16159,1,S60,0.01,0,4,0,forex
SELL,GBPUSD,2020-07-27,1.28689,1,S60,0.01,0,0,0,forex
BUY,USDJPY,2020-07-27,105.24,1,S60,0.01,0,0,0,forex
SELL,USDCHF,2020-07-27,0.91966,1,S60,0.01,0,0,0,forex
SELL,USDJPY,2020-07-27,105.115,0,S60,0.02,0,0,0,forex
SELL,GBPAUD,2020-07-27,1.80499,1,S60,0.01,0,0,0,forex
BUY,USDJPY,2020-07-27,105.361,1,S60,0.01,0,0,0,forex
SELL,GBPUSD,2020-07-27,1.28721,1,S60,0.02,0,0,0,forex
SELL,USDJPY,2020-07-28,105.355,1,S60,0.03,0,1,0,forex
SELL,GBPJPY,2020-07-28,135.688,1,S60,0.03,0,1,0,forex
SELL,GBPJPY,2020-07-28,135.688,1,S60,0.03,0,1,0,forex
SELL,USDJPY,2020-07-28,105.318,1,S60,0.01,0,1,0,forex
BUY,GBPJPY,2020-07-28,135.684,0,S60,0.03,0,1,0,forex
BUY,GBPJPY,2020-07-28,135.728,1,S60,0.01,0,1,0,forex
SELL,GBPJPY,2020-07-28,135.736,0,S60,0.01,0,1,0,forex
BUY,GBPJPY,2020-07-28,136.108,0,S60,0.01,0,1,0,forex
SELL,GBPJPY,2020-07-28,136.068,1,S60,0.01,0,1,0,forex
SELL,EURUSD,2020-07-28,1.17231,1,S60,0.01,0,1,0,forex
BUY,USDCHF,2020-07-28,0.91742,1,S60,0.01,0,1,0,forex
SELL,GBPUSD,2020-07-28,1.29439,1,S60,0.01,0,1,0,forex
SELL,GBPJPY,2020-07-28,135.94,1,S60,0.01,0,1,0,forex
SELL,GBPUSD,2020-07-28,1.29354,1,S60,0.01,0,1,0,forex
SELL,EURUSD,2020-07-29,1.17203,1,S60,0.01,0,2,0,forex
SELL,EURUSD,2020-07-29,1.17744,1,S60,0.01,0,2,0,forex
BUY,USDJPY,2020-07-29,105.003,1,S60,0.01,0,2,0,forex
BUY,USDCHF,2020-07-29,0.91363,1,S60,0.01,0,2,0,forex
BUY,CADJPY,2020-07-29,78.528,1,S60,0.01,0,2,0,forex
SELL,CADJPY,2020-07-29,78.491,0,S60,0.01,0,2,0,forex
SELL,USDJPY,2020-07-29,104.974,1,S60,0.01,0,2,0,forex
BUY,USDJPY,2020-07-29,105.019,1,S60,0.01,0,2,0,forex
BUY,CADJPY,2020-07-29,78.71,1,S60,0.01,0,2,0,forex
BUY,USDCHF,2020-07-30,0.91233,1,S60,0.01,0,3,0,forex
