id,open,close,high,low,volume,time
150,1.27,1.26898,1.27127,1.26771,14602,1763975039
149,1.26898,1.26777,1.27025,1.26651,5600,1763975339
148,1.26777,1.26644,1.26904,1.26518,12221,1763975639
147,1.26644,1.26579,1.26771,1.26452,18820,1763975939
146,1.26579,1.26478,1.26705,1.26352,7328,1763976239
145,1.26478,1.26241,1.26605,1.26115,6041,1763976539
144,1.26241,1.26103,1.26367,1.25977,12473,1763976839
143,1.26103,1.25884,1.26229,1.25758,7794,1763977139
142,1.25884,1.25707,1.2601,1.25581,8209,1763977439
141,1.25707,1.25514,1.25832,1.25389,9854,1763977739
140,1.25514,1.25276,1.2564,1.25151,6562,1763978039
139,1.25276,1.25095,1.25401,1.2497,6000,1763978339
138,1.25095,1.2503,1.2522,1.24905,18932,1763978639
137,1.2503,1.24866,1.25155,1.24742,13768,1763978939
136,1.24866,1.24794,1.24991,1.24669,11306,1763979239
135,1.24794,1.24565,1.24918,1.2444,5015,1763979539
134,1.24565,1.24458,1.24689,1.24334,8242,1763979839
133,1.24458,1.24256,1.24582,1.24132,18354,1763980139
132,1.24256,1.24192,1.2438,1.24068,11380,1763980439
131,1.24192,1.23954,1.24316,1.2383,12537,1763980739
130,1.23954,1.23871,1.24077,1.23747,9753,1763981039
129,1.23871,1.23803,1.23995,1.23679,6344,1763981339
128,1.23803,1.23657,1.23927,1.23534,6145,1763981639
127,1.23657,1.23502,1.23781,1.23379,18912,1763981939
126,1.23502,1.23308,1.23626,1.23184,11044,1763982239
125,1.23308,1.2323,1.23431,1.23106,12571,1763982539
124,1.2323,1.23149,1.23353,1.23026,19486,1763982839
123,1.23149,1.23062,1.23272,1.22939,16277,1763983139
122,1.23062,1.22864,1.23185,1.22741,8332,1763983439
121,1.22864,1.22763,1.22986,1.2264,19650,1763983739
120,1.22763,1.22685,1.22886,1.22562,18402,1763984039
119,1.22685,1.22557,1.22808,1.22434,6874,1763984339
118,1.22557,1.22321,1.22679,1.22198,6347,1763984639
117,1.22321,1.22134,1.22443,1.22012,19598,1763984939
116,1.22134,1.21951,1.22256,1.21829,14795,1763985239
115,1.21951,1.21838,1.22073,1.21717,11798,1763985539
114,1.21838,1.21729,1.2196,1.21607,10152,1763985839
